"Madagascar" "Coral Triangle"
"madracis asperula" 0 0
"madracis decactis" 0 0
"madracis formosa" 0 0
"madracis kirbyi" 19 1
"madracis mirabilis" 0 0
"madracis pharensis" 0 11
"madracis senaria" 0 0
"manicina areolata" 0 0
"meandrina braziliensis" 0 0
"meandrina meandrites" 0 0
"merulina ampliata" 45 22
"merulina scabricula" 1 0
"micromussa amakusensis" 22 0
"micromussa diminuta" 0 0
"montastraea curta" 41 7
"montastrea annularis" 0 0
"montastrea annuligera" 0 5
"montastrea cavernosa" 0 0
"montastrea colemani" 22 0
"montastrea magnistellata" 0 3
"montastrea serageldini" 38 0
"montastrea valenciennesi" 0 7
"montipora aequituberculata" 26 9
"montipora angulata" 0 1
"montipora aspergillus" 0 0
"montipora australiensis" 0 0
"montipora calcarea" 32 0
"montipora caliculata" 29 1
"montipora capitata" 0 3
"montipora capricornis" 1 0
"montipora circumvallata" 19 0
"montipora cocosensis" 0 0
"montipora confusa" 1 2
"montipora corbettensis" 0 2
"montipora crassituberculata" 0 1
"montipora cryptus" 19 0
"montipora danae" 32 9
"montipora delicatula" 0 2
"montipora digitata" 21 18
"montipora dilatata" 0 0
"montipora echinata" 0 0
"montipora efflorescens" 23 1
"montipora effusa" 3 1
"montipora flabellata" 0 0
"montipora florida" 0 2
"montipora floweri" 20 1
"montipora foliosa" 5 18
"montipora foveolata" 19 2
"montipora friabilis" 1 0
"montipora gaimardi" 0 2
"montipora grisea" 26 2
"montipora hemispherica" 0 0
"montipora hirsuta" 0 1
"montipora hispida" 1 14
"montipora hoffmeisteri" 0 0
"montipora incrassata" 0 2
"montipora informis" 33 2
"montipora kellyi" 2 1
"montipora lobulata" 0 0
"montipora millepora" 24 2
"montipora mollis" 3 1
"montipora niugini" 0 0
"montipora nodosa" 19 2
"montipora orientalis" 0 2
"montipora pachytuberculata" 0 0
"montipora patula" 0 0
"montipora peltiformis" 6 3
"montipora saudii" 19 0
"montipora spongiosa" 0 0
"montipora spongodes" 19 0
"montipora spumosa" 4 4
"montipora stellata" 1 6
"montipora stilosa" 19 2
"montipora taiwanensis" 0 1
"montipora tuberculosa" 46 4
"montipora turgescens" 27 2
"montipora turtlensis" 0 1
"montipora undata" 34 8
"montipora venosa" 33 8
"montipora verrilli" 1 0
"montipora verrucosa" 26 17
"montipora verruculosus" 0 2
"montipora vietnamensis" 0 1
"moseleya latistellata" 19 0
"mussa angulosa" 0 1
"mussismilia braziliensis" 0 0
"mussismilia harttii" 0 0
"mussismilia hispida" 0 0
"mycedium elephantotus" 45 27
"mycedium mancaoi" 23 0
"mycedium robokaki" 0 3
"mycedium steeni" 0 0
"mycedium umbra" 19 0
"mycetophyllia aliciae" 0 0
"mycetophyllia danaana" 0 0
"mycetophyllia ferox" 0 0
"mycetophyllia lamarckiana" 0 0
"mycetophyllia reesi" 0 0
"oculina diffusa" 0 0
"oculina patagonica" 0 0
"oculina robusta" 0 0
"oculina valenciennesi" 0 0
"oculina varicosa" 0 0
"oulastrea crispata" 0 7
"oulophyllia bennettae" 25 1
"oulophyllia crispa" 38 15
"oulophyllia levis" 0 0
"oxypora convoluta" 0 0
"oxypora crassispinosa" 22 0
"oxypora egyptensis" 0 0
"oxypora glabra" 2 3
"oxypora lacera" 38 27
"pachyseris foliosa" 1 0
"pachyseris gemmae" 0 3
"pachyseris involuta" 0 1
"pachyseris rugosa" 3 9
"pachyseris speciosa" 43 29
"palauastrea ramosa" 0 1
"paraclavarina triangularis" 0 3
"parasimplastrea sheppardi" 19 1
"pavona bipartita" 3 0
"pavona cactus" 22 15
"pavona clavus" 29 16
"pavona danai" 19 5
"pavona decussata" 33 25
"pavona diffluens" 1 0
"pavona duerdeni" 37 0
"pavona explanulata" 41 24
"pavona frondifera" 28 5
"pavona gigantea" 0 0
"pavona maldivensis" 25 2
"pavona minuta" 20 8
"pavona varians" 49 24
"pavona venosa" 23 20
"pectinia africanus" 25 0
"pectinia alcicornis" 1 8
"pectinia lactuca" 20 8
"pectinia paeonia" 0 8
"pectinia pygmaeus" 0 0
"pectinia teres" 0 0
"physogyra lichtensteini" 41 11
"physophyllia ayleni" 0 0
"platygyra acuta" 43 0
"platygyra carnosus" 21 0
"platygyra contorta" 29 0
"platygyra crosslandi" 32 0
"platygyra daedalea" 48 15
"platygyra lamellina" 41 13
"platygyra pini" 48 8
"platygyra ryukyuensis" 29 0
"platygyra sinensis" 42 12
"platygyra verweyi" 20 1
"platygyra yaeyamaensis" 0 0
"plerogyra simplex" 0 3
"plerogyra sinuosa" 37 28
"plesiastrea devantieri" 37 0
"plesiastrea versipora" 46 10
"pocillopora ankeli" 1 0
"pocillopora capitata" 0 0
"pocillopora damicornis" 55 16
"pocillopora effusus" 0 0
"pocillopora elegans" 19 0
"pocillopora eydouxi" 48 11
"pocillopora fungiformis" 2 0
"pocillopora indiania" 32 0
"pocillopora inflata" 0 0
"pocillopora kelleheri" 0 0
"pocillopora ligulata" 20 0
"pocillopora meandrina" 21 1
"pocillopora verrucosa" 52 16
"pocillopora woodjonesi" 19 0
"pocillopora zelli" 19 0
"podabacia crustacea" 36 28
"podabacia lankaensis" 0 0
"podabacia motuporensis" 1 9
"podabacia sinai" 0 0
"polyphyllia novaehiberniae" 0 4
"polyphyllia talpina" 25 18
"porites annae" 20 0
"porites aranetai" 0 0
"porites arnaudi" 0 0
"porites astreoides" 0 0
"porites attenuata" 10 2
"porites australiensis" 20 1
"porites branneri" 0 0
"porites brighami" 0 1
"porites colonensis" 0 0
"porites columnaris" 20 0
"porites cumulatus" 1 2
"porites cylindrica" 39 3
"porites deformis" 1 1
"porites densa" 1 1
"porites desilveri" 0 0
"porites divaricata" 0 0
"porites echinulata" 3 0
"porites eridani" 0 0
"porites evermanni" 2 0
"porites flavus" 1 0
"porites furcata" 0 0
"porites harrisoni" 19 0
"porites heronensis" 0 0
"porites horizontalata" 1 0
"porites latistella" 26 0
"porites lichen" 22 13
"porites lobata" 20 6
"porites lutea" 27 11
"porites mayeri" 2 5
"porites monticulosa" 22 1
"porites murrayensis" 1 1
"porites napopora" 1 0
"porites negrosensis" 1 0
"porites nigrescens" 26 16
"porites nodifera" 19 0
"porites ornata" 1 0
"porites panamensis" 0 0
"porites porites" 0 0
"porites profundus" 41 0
"porites pukoensis" 0 0
"porites rugosa" 1 2
"porites rus" 37 11
"porites sillimaniana" 1 0
"porites solida" 28 0
"porites somaliensis" 2 0
"porites stephensoni" 1 2
"porites tuberculosa" 1 0
"porites vaughani" 3 2
"poritipora paliformis" 23 0
"psammocora contigua" 29 14
"psammocora digitata" 0 7
"psammocora explanulata" 27 0
"psammocora haimeana" 13 1
"psammocora nierstraszi" 23 2
"psammocora obtusangula" 5 1
"psammocora profundacella" 33 10
"psammocora stellata" 21 0
"psammocora superficialis" 21 3
"psammocora vaughani" 0 0
"psammocora verrilli" 0 0
"pseudosiderastrea tayami" 0 0
"sandalolitha africana" 0 0
"sandalolitha dentata" 0 7
"sandalolitha robusta" 19 25
"scapophyllia cylindrica" 0 7
"schizoculina africana" 0 0
"scolymia australis" 0 0
"scolymia cubensis" 0 0
"scolymia vitiensis" 20 19
"seriatopora aculeata" 8 3
"seriatopora caliendrum" 38 8
"seriatopora guttatus" 23 0
"seriatopora hystrix" 43 48
"seriatopora stellata" 19 0
"siderastrea radians" 0 0
"siderastrea savignyana" 19 0
"siderastrea siderea" 0 0
"siderastrea stellata" 0 0
